,Air ground truth count,Air Flow (ln/min),Air Flow (ln/min) STD,Air Flow (ln/min) STUNC,Air Pressure outlet (bar(a)),Air Pressure outlet (bar(a)) STD,Air Pressure outlet (bar(a)) STUNC,Air Temperature (°C),Air Temperature (°C) STD,Air Temperature (°C) STUNC,Total vol. flow (ln/min),Total vol. flow (ln/min) COMB-UNC,Air Vol. fraction,Air Vol. fraction COMB-UNC
2024-08-15 15:13:09,32,1.69989995625,2.0166671143242824e-05,3.5649974798365162e-06,1.1140229625,3.4548379122595895e-05,6.107348289147825e-06,24.287890625,0.0020960156130138768,0.00037052671335874765,1.69989995625,3.5649974798365162e-06,1,2.96586147159665e-06
2024-08-15 15:13:10,32,1.6999174062500002,1.3878879337564438e-05,2.453462423715418e-06,1.114107975,1.751899921041671e-05,3.0969507853218567e-06,24.2887700625,0.0021518594275257894,0.00038039859834092195,1.6999174062500002,2.453462423715418e-06,1,2.041110833758256e-06
2024-08-15 15:13:11,32,1.6999214500000002,1.7212747214392005e-05,3.0428125695366107e-06,1.1141984,3.58047669079513e-05,6.329448369854014e-06,24.29043025,0.0031703153260617435,0.0005604378663894748,1.6999214500000002,3.0428125695366107e-06,1,2.5314033207816757e-06
2024-08-15 15:13:12,32,1.6999128499999998,1.6775021112745203e-05,2.965432795842409e-06,1.11429140625,2.4164477199682236e-05,4.271716422930756e-06,24.292285375000002,0.00443690032755525,0.0007843405772657827,1.6999128499999998,2.965432795842409e-06,1,2.4670413416701337e-06
2024-08-15 15:13:13,32,1.6999145624999998,1.8670399924292073e-05,3.300491598482932e-06,1.11436018125,1.7591635086018437e-05,3.1097911153707077e-06,24.293164687500003,0.003271306481488563,0.0005782907491000169,1.6999145624999998,3.300491598482932e-06,1,2.7457850435780467e-06
2024-08-15 15:13:14,32,1.6999114374999997,1.8974223743452068e-05,3.354200569186439e-06,1.11443045,1.724699007558256e-05,3.0488659093753784e-06,24.292286187500004,0.002384625008080574,0.0004215461284501999,1.6999114374999997,3.354200569186439e-06,1,2.790472392396629e-06
2024-08-15 15:13:15,32,1.6999383375000001,1.4252526091896755e-05,2.5195144621545995e-06,1.1145055687499998,1.6033869100536784e-05,2.834414392411752e-06,24.2948246875,0.003640838762679883,0.0006436154445744461,1.6999383375000001,2.5195144621545995e-06,1,2.09603574692849e-06
2024-08-15 15:13:16,34,1.7000967294117646,0.00059296269145358,0.00010169226262658298,1.1145432470588237,1.2728467977688074e-05,2.1829142492052355e-06,24.29614029411765,0.004659081196500577,0.0007990258332639161,1.7000967294117646,0.00010169226262658298,1,8.459199674166791e-05
2024-08-15 15:13:17,32,2.9776507,0.07622248138927694,0.013474358367305784,1.1195061625,0.003032474563757039,0.00053607083195208,24.296582437499996,0.0029769257737637354,0.0005262511004293368,2.9776507,0.013474358367305784,1,0.006399548592895478
2024-08-15 15:13:18,32,3.0005033625,9.114578706662023e-05,1.611245102784807e-05,1.1281947749999999,0.002145865954962384,0.0003793390920678121,24.2989265,0.003640869145319119,0.0006436208155170045,3.0005033625,1.611245102784807e-05,1,7.594208042369776e-06
2024-08-15 15:13:19,32,3.000404875,2.6098135310166934e-05,4.613542113535779e-06,1.1339950187499999,0.0013518877484065316,0.00023898224857531793,24.300196,0.002957998129366306,0.0005229051340030094,3.000404875,4.613542113535779e-06,1,2.1745511353835977e-06
2024-08-15 15:13:20,32,3.000369075,1.68810939614425e-05,2.9841840034958178e-06,1.1375782374999999,0.0008268341751322853,0.0001461650130382061,24.30254,0.0036478536703108844,0.0006448555167632657,3.000369075,2.9841840034958178e-06,1,1.4065847850270303e-06
2024-08-15 15:13:21,32,3.0003429937500004,1.3171761145212774e-05,2.328460406487359e-06,1.1397852812499998,0.0005009515428578555,8.855655825016324e-05,24.3057625,0.0037725697166078134,0.0006669024072780991,3.0003429937500004,2.328460406487359e-06,1,1.097521281121092e-06
2024-08-15 15:13:22,34,3.000347817647059,1.9809632609352468e-05,3.3973239646968538e-06,1.1411593,0.00032062179043226656,5.498618342499169e-05,24.30560747058824,0.0035828471764369238,0.0006144532215407652,3.000347817647059,3.3973239646968538e-06,1,1.6013282188120625e-06
2024-08-15 15:13:23,32,3.0002932812500003,2.5588492693626284e-05,4.523449176001393e-06,1.1419513749999999,0.00016599327094795233,2.9343741879658255e-05,24.307911375,0.002093626482924038,0.00037010437083683217,3.0002932812500003,4.523449176001393e-06,1,2.1321659497038777e-06
2024-08-15 15:13:24,32,3.0002839499999996,1.4660286491043166e-05,2.5915969979885394e-06,1.1423631937499998,9.507649880491024e-05,1.6807309259106676e-05,24.306544125,0.0037071392362120056,0.0006553358231820569,3.0002839499999996,2.5915969979885394e-06,1,1.2215749188541943e-06
2024-08-15 15:13:25,32,3.0002614249999997,2.288133154627801e-05,4.044886174737713e-06,1.142597,5.3148684524336926e-05,9.395448809575788e-06,24.309961875000003,0.0027875491236326036,0.0004927737220528079,3.0002614249999997,4.044886174737713e-06,1,1.9066114835541384e-06
2024-08-15 15:13:26,33,3.0002628882352944,1.4972720291971094e-05,2.60641605170664e-06,1.1427296999999998,3.058128512668911e-05,5.3235184309668865e-06,24.310478941176463,0.0029103920799129104,0.0005066342311832675,3.0002628882352944,2.60641605170664e-06,1,1.228568651088614e-06
2024-08-15 15:13:27,31,3.00024438,2.2644904819563762e-05,4.067144969485321e-06,1.1428110666666664,1.85114121815003e-05,3.3247477758004816e-06,24.312084133333336,0.0031507994873567332,0.0005659002935525136,3.00024438,4.067144969485321e-06,1,1.917114357192346e-06
